video,label,score
018_019,1,0.743771
020,0,0.42485395
040_997,1,0.899384
052_108,1,0.74017644
065_089,1,0.7818278
082_103,1,0.70752454
089,0,0.6532985
098_092,1,0.45917836
103_082,1,0.8470521
121,0,0.8309234
127_129,1,0.585738
130_139,1,0.849185
131_518,1,0.77388346
143,0,0.6339642
145_299,1,0.85583234
152_149,1,0.76310724
163_031,1,0.7153506
170_186,1,0.76554275
176_190,1,0.38800868
179_212,1,0.76050276
181_199,1,0.601149
189_200,1,0.46474943
192_134,1,0.71216816
199_181,1,0.67645377
202_348,1,0.79970413
208,0,0.5219102
213_083,1,0.57378185
219_220,1,0.75289464
221_206,1,0.73643297
224_197,1,0.5989908
226,0,0.45470715
232,0,0.72743547
234_187,1,0.798503
250_461,1,0.80436414
254_261,1,0.8319494
262_301,1,0.45257527
299_145,1,0.6983019
304_300,1,0.6211419
307_365,1,0.73666924
317_359,1,0.45627722
319_352,1,0.61886066
324_356,1,0.6640645
338_336,1,0.75947595
349_350,1,0.8867202
356_324,1,0.8343466
361_448,1,0.5728513
366_473,1,0.6468641
376_381,1,0.8803465
381_376,1,0.65864706
391_406,1,0.85620064
396_272,1,0.63281804
438_434,1,0.4978195
439_441,1,0.6054992
443_514,1,0.7368051
453_402,1,0.7344654
455_471,1,0.811552
463_464,1,0.8184782
484_415,1,0.4754772
486_680,1,0.7494234
487_477,1,0.68955225
488_399,1,0.7015053
489_022,1,0.8039529
491_226,1,0.7823359
504_502,1,0.5729071
527_454,1,0.5028687
543_559,1,0.4301243
577_593,1,0.6687789
604_703,1,0.87353176
611_760,1,0.56831
621_546,1,0.472387
623_630,1,0.4891405
633_529,1,0.5918644
636_578,1,0.5865304
640_638,1,0.6459573
642_635,1,0.7728813
674_744,1,0.7410387
677_671,1,0.7663449
710_788,1,0.5732343
719_737,1,0.47062737
746_571,1,0.37239063
763_930,1,0.5220604
770_791,1,0.69317085
791,0,0.7303518
791_770,1,0.7538564
800_840,1,0.7450422
826_833,1,0.7355326
832_762,1,0.46625876
843_859,1,0.6411761
845_846,1,0.5527296
857_909,1,0.7817639
863,0,0.3920392
868_949,1,0.86375713
874_291,1,0.652287
881_856,1,0.65998054
882_952,1,0.25305152
891_876,1,0.57958907
896_128,1,0.75744116
921_569,1,0.51067895
938_987,1,0.73019964
941_940,1,0.711705
943_942,1,0.5409028
955_078,1,0.49302164
964_174,1,0.75970685
965,0,0.6024654
965_948,1,0.6026644
969_897,1,0.6345121
977_075,1,0.44977546
983_113,1,0.68410724
985_981,1,0.46458283
992_980,1,0.73699874
